* Measurement data measured by REW V5.19
* Source: D:\Downloads\Toole.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 1, 2020 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Toole.csv Format: Comma/Tab/Space delimited data 248 values loaded, 21 Hz to 19,356 Hz
* Measurement: Toole.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
230.866 2.275 0
231.116 2.274 0
231.366 2.273 0
231.616 2.271 0
231.866 2.270 0
232.116 2.269 0
232.366 2.268 0
232.616 2.267 0
232.866 2.266 0
233.116 2.265 0
233.366 2.264 0
233.616 2.263 0
233.866 2.262 0
234.116 2.261 0
234.366 2.260 0
234.616 2.259 0
234.866 2.258 0
235.116 2.257 0
235.366 2.255 0
235.616 2.254 0
235.866 2.253 0
236.116 2.252 0
236.366 2.251 0
236.616 2.250 0
236.866 2.249 0
237.116 2.248 0
237.366 2.247 0
237.616 2.246 0
237.866 2.245 0
238.116 2.244 0
238.366 2.243 0
238.616 2.242 0
238.866 2.241 0
239.116 2.240 0
239.366 2.239 0
239.616 2.238 0
239.866 2.237 0
240.116 2.236 0
240.366 2.235 0
240.616 2.234 0
240.866 2.233 0
241.116 2.232 0
241.366 2.231 0
241.616 2.230 0
241.866 2.228 0
242.116 2.227 0
242.366 2.226 0
242.616 2.225 0
242.866 2.224 0
243.116 2.223 0
243.366 2.222 0
243.616 2.221 0
243.866 2.220 0
244.116 2.219 0
244.366 2.218 0
244.616 2.217 0
244.866 2.216 0
245.116 2.215 0
245.366 2.214 0
245.616 2.213 0
245.866 2.212 0
246.116 2.211 0
246.366 2.210 0
246.616 2.208 0
246.866 2.207 0
247.116 2.206 0
247.366 2.205 0
247.616 2.204 0
247.866 2.203 0
248.116 2.202 0
248.366 2.201 0
248.616 2.200 0
248.866 2.199 0
249.116 2.197 0
249.366 2.196 0
249.616 2.195 0
249.866 2.194 0
250.116 2.193 0
250.366 2.192 0
250.616 2.191 0
250.866 2.190 0
251.116 2.189 0
251.366 2.188 0
251.616 2.187 0
251.866 2.185 0
252.116 2.184 0
252.366 2.183 0
252.616 2.182 0
252.866 2.181 0
253.116 2.180 0
253.366 2.179 0
253.616 2.178 0
253.866 2.177 0
254.116 2.176 0
254.366 2.175 0
254.616 2.174 0
254.866 2.173 0
255.116 2.173 0
255.366 2.172 0
255.616 2.171 0
255.866 2.170 0
256.116 2.169 0
256.366 2.168 0
256.616 2.167 0
256.866 2.166 0
257.116 2.165 0
257.366 2.164 0
257.616 2.163 0
257.866 2.162 0
258.116 2.161 0
258.366 2.160 0
258.616 2.159 0
258.866 2.158 0
259.116 2.157 0
259.366 2.156 0
259.616 2.155 0
259.866 2.154 0
260.116 2.153 0
260.366 2.152 0
260.616 2.151 0
260.866 2.150 0
261.116 2.149 0
261.366 2.149 0
261.616 2.148 0
261.866 2.147 0
262.116 2.146 0
262.366 2.145 0
262.616 2.144 0
262.866 2.143 0
263.116 2.142 0
263.366 2.141 0
263.616 2.140 0
263.866 2.139 0
264.116 2.138 0
264.366 2.137 0
264.616 2.136 0
264.866 2.135 0
265.116 2.134 0
265.366 2.133 0
265.616 2.132 0
265.866 2.132 0
266.116 2.131 0
266.366 2.130 0
266.616 2.129 0
266.866 2.128 0
267.116 2.127 0
267.366 2.126 0
267.616 2.125 0
267.866 2.124 0
268.116 2.123 0
268.366 2.122 0
268.616 2.121 0
268.866 2.120 0
269.116 2.120 0
269.366 2.119 0
269.616 2.118 0
269.866 2.117 0
270.116 2.116 0
270.366 2.115 0
270.616 2.114 0
270.866 2.113 0
271.116 2.112 0
271.366 2.111 0
271.616 2.110 0
271.866 2.109 0
272.116 2.109 0
272.366 2.108 0
272.616 2.107 0
272.866 2.106 0
273.116 2.105 0
273.366 2.104 0
273.616 2.103 0
273.866 2.102 0
274.116 2.101 0
274.366 2.100 0
274.616 2.099 0
274.866 2.098 0
275.116 2.097 0
275.366 2.096 0
275.616 2.095 0
275.866 2.094 0
276.116 2.093 0
276.366 2.092 0
276.616 2.091 0
276.866 2.090 0
277.116 2.089 0
277.366 2.088 0
277.616 2.087 0
277.866 2.086 0
278.116 2.085 0
278.366 2.084 0
278.616 2.083 0
278.866 2.082 0
279.116 2.081 0
279.366 2.080 0
279.616 2.079 0
279.866 2.078 0
280.116 2.077 0
280.366 2.076 0
280.616 2.075 0
280.866 2.075 0
281.116 2.074 0
281.366 2.073 0
281.616 2.072 0
281.866 2.071 0
282.116 2.070 0
282.366 2.069 0
282.616 2.068 0
282.866 2.067 0
283.116 2.066 0
283.366 2.065 0
283.616 2.064 0
283.866 2.064 0
284.116 2.063 0
284.366 2.062 0
284.616 2.061 0
284.866 2.060 0
285.116 2.059 0
285.366 2.058 0
285.616 2.057 0
285.866 2.057 0
286.116 2.056 0
286.366 2.055 0
286.616 2.054 0
286.866 2.053 0
287.116 2.052 0
287.366 2.051 0
287.616 2.051 0
287.866 2.050 0
288.116 2.049 0
288.366 2.048 0
288.616 2.047 0
288.866 2.046 0
289.116 2.045 0
289.366 2.045 0
289.616 2.044 0
289.866 2.043 0
290.116 2.042 0
290.366 2.041 0
290.616 2.040 0
290.866 2.039 0
291.116 2.039 0
291.366 2.038 0
291.616 2.037 0
291.866 2.036 0
292.116 2.035 0
292.366 2.034 0
292.616 2.033 0
292.866 2.033 0
293.116 2.032 0
293.366 2.031 0
293.616 2.030 0
293.866 2.029 0
294.116 2.028 0
294.366 2.028 0
294.616 2.027 0
294.866 2.026 0
295.116 2.025 0
295.366 2.024 0
295.616 2.023 0
295.866 2.022 0
296.116 2.022 0
296.366 2.021 0
296.616 2.020 0
296.866 2.019 0
297.116 2.018 0
297.366 2.017 0
297.616 2.017 0
297.866 2.016 0
298.116 2.015 0
298.366 2.014 0
298.616 2.013 0
298.866 2.012 0
299.116 2.012 0
299.366 2.011 0
299.616 2.010 0
299.866 2.009 0
300.116 2.008 0
300.366 2.008 0
300.616 2.007 0
300.866 2.006 0
301.116 2.005 0
301.366 2.004 0
301.616 2.003 0
301.866 2.003 0
302.116 2.002 0
302.366 2.001 0
302.616 2.000 0
302.866 1.999 0
303.116 1.998 0
303.366 1.998 0
303.616 1.997 0
303.866 1.996 0
304.116 1.995 0
304.366 1.994 0
304.616 1.994 0
304.866 1.993 0
305.116 1.992 0
305.366 1.991 0
305.616 1.990 0
305.866 1.989 0
306.116 1.988 0
306.366 1.988 0
306.616 1.987 0
306.866 1.986 0
307.116 1.985 0
307.366 1.984 0
307.616 1.983 0
307.866 1.982 0
308.116 1.981 0
308.366 1.981 0
308.616 1.980 0
308.866 1.979 0
309.116 1.978 0
309.366 1.977 0
309.616 1.976 0
309.866 1.975 0
310.116 1.974 0
310.366 1.973 0
310.616 1.973 0
310.866 1.972 0
311.116 1.971 0
311.366 1.970 0
311.616 1.969 0
311.866 1.968 0
312.116 1.967 0
312.366 1.966 0
312.616 1.966 0
312.866 1.965 0
313.116 1.964 0
313.366 1.963 0
313.616 1.962 0
313.866 1.961 0
314.116 1.960 0
314.366 1.960 0
314.616 1.959 0
314.866 1.958 0
315.116 1.957 0
315.366 1.956 0
315.616 1.955 0
315.866 1.955 0
316.116 1.954 0
316.366 1.953 0
316.616 1.952 0
316.866 1.951 0
317.116 1.951 0
317.366 1.950 0
317.616 1.949 0
317.866 1.948 0
318.116 1.948 0
318.366 1.947 0
318.616 1.946 0
318.866 1.945 0
319.116 1.944 0
319.366 1.944 0
